,Metadata_Col,Metadata_Row,Metadata_Well,Metadata_perturbation_id,Metadata_perturbation_type,QC_cell_count,QC_cell_count_cov,QC_cov_failed,QC_position_effect
1332,44,Z,Z44,pert_1003,trt,1616,0.2563728738834719,False,0.1772151898734177
1333,26,F,F26,pert_1004,trt,1485,-0.8178914606651414,False,0.0873015873015873
1334,41,L,L41,pert_1005,trt,1512,-0.5065168623272843,False,0.1392405063291139
1335,31,H,H31,pert_1006,trt,1666,0.2617558492166817,False,0.1392405063291139
1336,19,Y,Y19,pert_1007,trt,1533,0.28998807304024193,False,0.0759493670886076
1337,5,AE,AE05,pert_1008,trt,1327,0.18251793547787096,False,0.2025316455696202
1338,11,Z,Z11,pert_1009,trt,1608,2.309415771695392,True,0.1645569620253164
1339,43,AE,AE43,pert_1010,trt,1477,1.275933726348939,True,0.2531645569620253
1340,41,G,G41,pert_1011,trt,1393,0.7462610271763852,False,0.2784810126582278
1341,26,D,D26,pert_1012,trt,1383,0.3079376755157758,False,0.0873015873015873
1342,9,Y,Y09,pert_1013,trt,1513,0.4206322539339759,False,0.1265822784810126
1343,29,AB,AB29,pert_1014,trt,1605,0.853128044884218,False,0.2531645569620253
1344,41,K,K41,pert_1015,trt,1626,-0.404846618515456,False,0.1139240506329113
1345,16,AA,AA16,pert_1016,trt,1420,0.08033824267553694,False,0.1012658227848101
1346,4,K,K04,pert_1017,trt,1407,0.8946098384612632,False,0.2025316455696202
1347,47,H,H47,pert_1018,trt,1410,-1.705898360661418,False,0.2911392405063291
1348,14,B,B14,pert_1019,trt,1424,-0.4511516344124847,False,0.1666666666666666
1349,25,F,F25,pert_1020,trt,1723,0.11761078054445293,False,0.0555555555555555
1350,29,AC,AC29,pert_1021,trt,1437,-0.7451688306537141,False,0.2658227848101265
1351,20,G,G20,pert_1022,trt,1475,-0.7801842861511085,False,0.1139240506329113
1352,36,H,H36,pert_1023,trt,1529,0.3336217382186181,False,0.2025316455696202
1353,19,H,H19,pert_1024,trt,1199,1.3501138165113253,True,0.0632911392405063
1354,2,Z,Z02,pert_1025,trt,1509,0.24471402915277676,False,0.189873417721519
1355,19,Z,Z19,pert_1026,trt,1515,-1.0611033511040955,False,0.1392405063291139
1356,20,F,F20,pert_1027,trt,1422,0.6480254272221503,False,0.0793650793650793
1357,18,AA,AA18,pert_1028,trt,1463,-1.1460258351880654,False,0.1392405063291139
1358,27,B,B27,pert_1029,trt,1325,0.14880881130093954,False,0.2142857142857142
1359,28,G,G28,pert_1030,trt,1472,-0.04035879448702525,False,0.240506329113924
1360,34,H,H34,pert_1031,trt,1544,-2.5145346656604644,False,0.2025316455696202
1361,7,F,F07,pert_1032,trt,1350,0.5274716389614988,False,0.0634920634920634
1362,41,I,I41,pert_1033,trt,1308,-1.156263553405226,False,0.1265822784810126
1363,8,T,T08,pert_1034,trt,1623,0.27218687787145746,False,0.2151898734177215
1364,5,Q,Q05,pert_1035,trt,1478,-0.07430275900547281,False,0.2658227848101265
1365,21,Z,Z21,pert_1036,trt,1516,1.0866662674517773,True,0.1392405063291139
1366,25,R,R25,pert_1037,trt,1376,-1.2072979795846874,False,0.2151898734177215
1367,16,E,E16,pert_1038,trt,1412,0.2182558890276937,False,0.0873015873015873
1368,21,S,S21,pert_1039,trt,1370,-0.14313145604844377,False,0.1012658227848101
1369,19,X,X19,pert_1040,trt,1668,0.11852029935712217,False,0.1265822784810126
1370,16,U,U16,pert_1041,trt,1555,-0.0496743345745772,False,0.0759493670886076
1371,19,W,W19,pert_1042,trt,1676,0.6131262202047355,False,0.1265822784810126
1372,29,L,L29,pert_1043,trt,1801,0.25619233677859465,False,0.2025316455696202
1373,31,O,O31,pert_1044,trt,1511,-1.046940568262506,False,0.1012658227848101
1374,20,R,R20,pert_1045,trt,1387,0.6009218019426221,False,0.1265822784810126
1375,31,E,E31,pert_1046,trt,1446,-0.3567428934153013,False,0.1111111111111111
1376,11,I,I11,pert_1047,trt,1558,-1.0962808477629187,False,0.050632911392405
1377,22,AB,AB22,pert_1048,trt,1549,-0.43002073746563807,False,0.1772151898734177
1378,18,Y,Y18,pert_1049,trt,1359,0.805279395023697,False,0.2278481012658227
1379,39,L,L39,pert_1050,trt,1425,1.5129105703800971,True,0.0253164556962025
1380,17,T,T17,pert_1051,trt,1413,0.1829664213385751,False,0.1392405063291139
1381,24,L,L24,pert_1052,trt,1487,-0.5731966122271132,False,0.189873417721519
1382,30,N,N30,pert_1053,trt,834,-0.6486678256245819,False,0.0632911392405063
1383,34,I,I34,pert_1054,trt,1516,-0.9783567046063563,False,0.1392405063291139
1384,33,Y,Y33,pert_1055,trt,1474,1.6357485925532194,True,0.0886075949367088
1385,16,X,X16,pert_1056,trt,1366,-1.0814400160953657,False,0.1265822784810126
1386,28,E,E28,pert_1057,trt,1428,0.1761208824512295,False,0.0873015873015873
1387,16,P,P16,pert_1058,trt,1439,1.1819238231745748,True,0.1645569620253164
1388,35,N,N35,pert_1059,trt,1370,0.7022727832228167,False,0.1012658227848101
1389,28,K,K28,pert_1060,trt,1292,0.027473182049356566,False,0.189873417721519
1390,25,H,H25,pert_1061,trt,1165,-1.5223944679475347,False,0.050632911392405
1391,38,Z,Z38,pert_1062,trt,1631,0.060293830089289055,False,0.240506329113924
1392,17,M,M17,pert_1063,trt,1514,-0.01771273596991706,False,0.0379746835443038
1393,11,M,M11,pert_1064,trt,1613,2.416002082131981,True,0.1645569620253164
1394,10,I,I10,pert_1065,trt,1412,0.21360106071529214,False,0.0632911392405063
1395,6,J,J06,pert_1066,trt,1528,0.5894458270992866,False,0.0759493670886076
1396,30,P,P30,pert_1067,trt,1378,-0.17426545194725207,False,0.189873417721519
1397,35,Q,Q35,pert_1068,trt,1441,-0.6926192534736357,False,0.1645569620253164
1398,43,L,L43,pert_1069,trt,1496,2.5078860759151023,True,0.2278481012658227
1399,35,Z,Z35,pert_1070,trt,1451,0.7768699254062241,False,0.1392405063291139
1400,24,AA,AA24,pert_1071,trt,1482,-0.7138054832399341,False,0.1012658227848101
1401,31,M,M31,pert_1072,trt,1566,-0.7337919953954576,False,0.2025316455696202
1402,16,R,R16,pert_1073,trt,1500,-0.6743484182948578,False,0.0886075949367088
1403,5,R,R05,pert_1074,trt,1513,-0.7148191611970703,False,0.2151898734177215
1404,36,N,N36,pert_1075,trt,1546,-0.9295236874261289,False,0.1772151898734177
1405,25,AA,AA25,pert_1076,trt,1569,0.19563050461925227,False,0.1012658227848101
1406,30,Q,Q30,pert_1077,trt,1482,-0.9785617650063237,False,0.2025316455696202
1407,23,N,N23,pert_1078,trt,1581,0.26132354273031977,False,0.1265822784810126
1408,7,O,O07,pert_1079,trt,1484,1.0482856740701507,True,0.1392405063291139
1409,18,U,U18,pert_1080,trt,1498,-1.1993993951893973,False,0.0759493670886076
1410,7,S,S07,pert_1081,trt,1562,0.879427202529237,False,0.2025316455696202
1411,35,O,O35,pert_1082,trt,1522,0.6151301599203663,False,0.0632911392405063
1412,26,K,K26,pert_1083,trt,1443,-0.41723128445357954,False,0.1139240506329113
1413,32,W,W32,pert_1084,trt,1621,-0.1828388869185134,False,0.0886075949367088
1414,31,L,L31,pert_1085,trt,1583,-0.26776883350206643,False,0.1139240506329113
1415,23,X,X23,pert_1086,trt,1505,1.855123657071591,True,0.1139240506329113
1416,11,N,N11,pert_1087,trt,1612,-0.5320315192030727,False,0.1265822784810126
1417,11,V,V11,pert_1088,trt,1536,1.9703545234501298,True,0.0886075949367088
1418,15,AB,AB15,pert_1089,trt,1576,1.673689804532461,True,0.3037974683544304
1419,29,P,P29,pert_1090,trt,1553,-2.755689080192801,False,0.0759493670886076
1420,42,K,K42,pert_1091,trt,1386,-0.9316310063622751,False,0.1012658227848101
1421,13,O,O13,pert_1092,trt,1559,-0.23911212464401915,False,0.1139240506329113
1422,39,AB,AB39,pert_1093,trt,1636,0.22358160311509553,False,0.1265822784810126
1423,21,U,U21,pert_1094,trt,1536,2.2315671723142994,True,0.0886075949367088
1424,6,W,W06,pert_1095,trt,1591,2.255850870909863,True,0.2278481012658227
1425,7,AA,AA07,pert_1096,trt,1708,-1.6505796838448537,False,0.2025316455696202
1426,21,H,H21,pert_1097,trt,1508,-0.07919929503178545,False,0.1518987341772152
1427,10,G,G10,pert_1098,trt,1450,0.07934059552340653,False,0.1012658227848101
1428,29,M,M29,pert_1099,trt,1457,0.7006553721398903,False,0.0886075949367088
1429,19,V,V19,pert_1100,trt,1362,-1.2151820842357668,False,0.0886075949367088
1430,17,R,R17,pert_1101,trt,1562,1.0200140212941893,True,0.0759493670886076
1431,9,O,O09,pert_1102,trt,1390,0.618603210362864,False,0.1012658227848101
1432,22,K,K22,pert_1103,trt,1396,-0.595412650183569,False,0.1645569620253164
1433,37,V,V37,pert_1104,trt,1674,-0.6213998426113576,False,0.1265822784810126
1434,15,Q,Q15,pert_1105,trt,1442,1.2540186752843063,True,0.1265822784810126
1435,11,X,X11,pert_1106,trt,1431,1.082821533911299,True,0.2278481012658227
1436,30,J,J30,pert_1107,trt,1468,0.9565797537742506,False,0.1645569620253164
1437,29,J,J29,pert_1108,trt,1468,-0.6964215505552945,False,0.0886075949367088
1438,27,Y,Y27,pert_1109,trt,1701,0.7184152792478206,False,0.1645569620253164
1439,27,O,O27,pert_1110,trt,1396,0.8220418353405059,False,0.1392405063291139
1440,28,W,W28,pert_1111,trt,1447,0.11230570890876662,False,0.1012658227848101
1441,14,Q,Q14,pert_1112,trt,1390,1.4720550650435025,True,0.1772151898734177
1442,17,X,X17,pert_1113,trt,1130,0.31353745628333696,False,0.1518987341772152
1443,32,P,P32,pert_1114,trt,1584,0.21025672679477814,False,0.1139240506329113
1444,17,N,N17,pert_1115,trt,1481,-0.3649978614084561,False,0.1392405063291139
1445,42,M,M42,pert_1116,trt,1401,-0.6765849979442843,False,0.1645569620253164
1446,30,H,H30,pert_1117,trt,1454,1.9150459532356925,True,0.1392405063291139
1447,26,AB,AB26,pert_1118,trt,1163,-1.223943030452416,False,0.2025316455696202
1448,13,K,K13,pert_1119,trt,1452,-1.100182115689164,False,0.1645569620253164
1449,17,P,P17,pert_1120,trt,1469,1.6959957415923372,True,0.050632911392405
1450,19,J,J19,pert_1121,trt,1507,0.19386545716650258,False,0.0886075949367088
1451,25,J,J25,pert_1122,trt,1299,0.8565132175199046,False,0.0759493670886076
1452,6,L,L06,pert_1123,trt,1559,-0.44864126882070443,False,0.2531645569620253
1453,35,W,W35,pert_1124,trt,1600,0.37970721934891866,False,0.1265822784810126
1454,18,P,P18,pert_1125,trt,1612,0.02221859562304674,False,0.1518987341772152
1455,18,V,V18,pert_1126,trt,1746,1.0546418569449156,True,0.0759493670886076
1456,23,W,W23,pert_1127,trt,1449,-0.8246910447540057,False,0.0886075949367088
1457,23,J,J23,pert_1128,trt,1441,-0.3632258054178761,False,0.1012658227848101
1458,8,K,K08,pert_1129,trt,1677,-0.13795206419214537,False,0.1392405063291139
1459,35,AB,AB35,pert_1130,trt,1681,0.3941146827570382,False,0.0759493670886076
1460,12,F,F12,pert_1131,trt,1567,-0.24276559038432616,False,0.0555555555555555
1461,7,W,W07,pert_1132,trt,1513,-0.6741675366597975,False,0.0886075949367088
1462,41,M,M41,pert_1133,trt,1407,0.9414473524595414,False,0.1265822784810126
1463,23,H,H23,pert_1134,trt,1362,-0.5664969077711466,False,0.1012658227848101
1464,37,Y,Y37,pert_1135,trt,1541,-1.386840899375613,False,0.0886075949367088
1465,13,P,P13,pert_1136,trt,1375,-0.2084651435392754,False,0.0886075949367088
1466,14,G,G14,pert_1137,trt,1483,-1.0277274892067363,False,0.1392405063291139
1467,20,V,V20,pert_1138,trt,1422,0.2224976639835867,False,0.1139240506329113
1468,33,X,X33,pert_1139,trt,1600,1.8966045065586998,True,0.2025316455696202
1469,33,AB,AB33,pert_1140,trt,1582,0.8798784708742996,False,0.2531645569620253
1470,42,N,N42,pert_1141,trt,1502,1.528617565744083,True,0.1139240506329113
1471,31,K,K31,pert_1142,trt,1540,2.117952996223782,True,0.1392405063291139
1472,6,N,N06,pert_1143,trt,1480,1.1387903995360724,True,0.189873417721519
1473,36,E,E36,pert_1144,trt,1614,1.359529588674462,True,0.1746031746031746
1474,18,J,J18,pert_1145,trt,1600,1.062561150604652,True,0.1139240506329113
1475,24,J,J24,pert_1146,trt,1450,-0.6571098788252254,False,0.1392405063291139
1476,22,G,G22,pert_1147,trt,1361,0.9116852220615462,False,0.2278481012658227
1477,23,F,F23,pert_1148,trt,1403,0.8679045077256002,False,0.1111111111111111
1478,39,G,G39,pert_1149,trt,1337,-0.7260787511676144,False,0.3291139240506329
1479,22,M,M22,pert_1150,trt,1631,-1.356900293250212,False,0.1265822784810126
1480,14,R,R14,pert_1151,trt,1552,2.426523558706485,True,0.2151898734177215
1481,9,Q,Q09,pert_1152,trt,1174,-0.7255163110563266,False,0.189873417721519
1482,43,H,H43,pert_1153,trt,1364,-0.1491399777236266,False,0.1392405063291139
1483,26,H,H26,pert_1154,trt,1277,-1.1164141293494692,False,0.1139240506329113
1484,35,H,H35,pert_1155,trt,1458,-0.07197767678715004,False,0.189873417721519
1485,31,I,I31,pert_1156,trt,1637,0.018513169768748308,False,0.1012658227848101
1486,16,V,V16,pert_1157,trt,1478,-0.23748943193727817,False,0.1772151898734177
1487,14,N,N14,pert_1158,trt,1410,-1.029256884116925,False,0.1012658227848101
1488,21,J,J21,pert_1159,trt,1652,-0.7664913756188345,False,0.1772151898734177
1489,13,R,R13,pert_1160,trt,1574,-0.5457870321446395,False,0.1645569620253164
1490,14,Y,Y14,pert_1161,trt,1500,0.3625166162704471,False,0.189873417721519
1491,8,V,V08,pert_1162,trt,1617,-0.5127245745565433,False,0.1265822784810126
1492,38,O,O38,pert_1163,trt,1780,-1.2303167488266238,False,0.0632911392405063
1493,40,Z,Z40,pert_1164,trt,1574,0.4363569618394283,False,0.1518987341772152
1494,15,X,X15,pert_1165,trt,1482,-0.11460029906763461,False,0.1772151898734177
1495,30,T,T30,pert_1166,trt,1575,-0.6081421990388373,False,0.1265822784810126
1496,19,Q,Q19,pert_1167,trt,1437,0.845912038289779,False,0.1012658227848101
1497,33,W,W33,pert_1168,trt,1566,-0.6765035281622752,False,0.0632911392405063
1498,10,X,X10,pert_1169,trt,1511,0.023045144818114094,False,0.1518987341772152
1499,15,G,G15,pert_1170,trt,1431,-0.26959171208674265,False,0.1265822784810126
1500,31,U,U31,pert_1171,trt,1557,-0.7570427859247629,False,0.1012658227848101
1501,34,R,R34,pert_1172,trt,1654,2.044281350521042,True,0.1645569620253164
1502,32,S,S32,pert_1173,trt,1559,-0.8392525236702912,False,0.1265822784810126
1503,36,Q,Q36,pert_1174,trt,1171,0.4786659579057209,False,0.0886075949367088
1504,10,S,S10,pert_1175,trt,1451,0.6677932575877422,False,0.0759493670886076
